2024-08-25 14:51:49.864 +08:00 [INF] Main (RegisterAcc) | Receive Request to register account, Request: {"name":"Kai Xuan","username":"string","password":"Mj/HV8dY/vQ/8bx0/6KToAqI661ve0lh4vAOHlll0zyM2ELMLbSX/VI5VG/AaNnY","email":"kaixuan0131@gmail.com","userRoleId":0,"phone":"string"}
2024-08-25 14:51:50.207 +08:00 [ERR] DBL (CreateAuditTrailAsync) | Error when Insert Audit Trail (Object). Exception Message: Self referencing loop detected for property 'AuditTrail' with type 'DAL.Entity.TAuditTrail'. Path 'AuditTrailDetails[0]'.
2024-08-25 14:51:50.209 +08:00 [INF] DBL (SendConfirmEmailAsync) | Send Confirm Email request. User Id: 20240825145149499966, recipient name: Kai Xuan, recipient email: kaixuan0131@gmail.com
2024-08-25 14:51:50.210 +08:00 [INF] DBL (CreateAsync) | Receive Request to Generate Token. User Id: 20240825145149499966, Token Type: EmailConfirmation
2024-08-25 14:51:50.366 +08:00 [ERR] DBL (CreateAuditTrailAsync) | Error when Insert Audit Trail (Object). Exception Message: Self referencing loop detected for property 'AuditTrail' with type 'DAL.Entity.TAuditTrail'. Path 'AuditTrailDetails[0]'.
2024-08-25 14:51:50.366 +08:00 [INF] DBL (CreateAsync) | Record Insert Successful. User Id: 20240825145149499966
2024-08-25 14:51:50.517 +08:00 [INF] DBL (SendConfirmEmailAsync) | Send Confirm Email Successful. Recipient name: Kai Xuan, recipient email: kaixuan0131@gmail.com
2024-08-25 14:51:50.517 +08:00 [INF] DBL (CreateAsync) | Record Insert Successful. user id: 20240825145149499966
2024-08-25 14:53:33.887 +08:00 [INF] DBL (UpdateUserVerifyEmailAsync) | Receive Request to Verify Email. Token: ConfirmEmail/wUM+VR9pwtl4mL6HiEXweVMv/45BlhzP/vm4sgnrN0o=
2024-08-25 14:53:33.902 +08:00 [ERR] DBL (UpdateUserVerifyEmailAsync) | User Token not found. Token: ConfirmEmail/wUM+VR9pwtl4mL6HiEXweVMv/45BlhzP/vm4sgnrN0o=
2024-08-25 14:53:44.501 +08:00 [INF] DBL (UpdateUserVerifyEmailAsync) | Receive Request to Verify Email. Token: wUM+VR9pwtl4mL6HiEXweVMv/45BlhzP/vm4sgnrN0o=
2024-08-25 14:53:44.665 +08:00 [ERR] DBL (CreateAuditTrailAsync) | Error when Insert Audit Trail (Object). Exception Message: Self referencing loop detected for property 'AuditTrail' with type 'DAL.Entity.TAuditTrail'. Path 'AuditTrailDetails[0]'.
